ts_iso,price
2025-12-27T10:00:00+00:00,98017.26
2025-12-27T10:00:05+00:00,98016.22
2025-12-27T10:00:10+00:00,97998.90
2025-12-27T10:00:15+00:00,97988.08
2025-12-27T10:00:20+00:00,97971.63
2025-12-27T10:00:25+00:00,97957.75
2025-12-27T10:00:30+00:00,97938.89
2025-12-27T10:00:35+00:00,97949.49
2025-12-27T10:00:40+00:00,97948.09
2025-12-27T10:00:45+00:00,97946.17
2025-12-27T10:00:50+00:00,97943.64
2025-12-27T10:00:55+00:00,97948.92
2025-12-27T10:01:00+00:00,97952.98
2025-12-27T10:01:05+00:00,97950.98
2025-12-27T10:01:10+00:00,97941.86
2025-12-27T10:01:15+00:00,97931.80
2025-12-27T10:01:20+00:00,97927.08
2025-12-27T10:01:25+00:00,97941.57
2025-12-27T10:01:30+00:00,97948.19
2025-12-27T10:01:35+00:00,97937.58
2025-12-27T10:01:40+00:00,97952.81
2025-12-27T10:01:45+00:00,97967.38
2025-12-27T10:01:50+00:00,97961.83
2025-12-27T10:01:55+00:00,97975.89
2025-12-27T10:02:00+00:00,97967.91
2025-12-27T10:02:05+00:00,97964.69
2025-12-27T10:02:10+00:00,97975.94
2025-12-27T10:02:15+00:00,97962.35
2025-12-27T10:02:20+00:00,97973.62
2025-12-27T10:02:25+00:00,97974.52
2025-12-27T10:02:30+00:00,97960.27
2025-12-27T10:02:35+00:00,97965.51
2025-12-27T10:02:40+00:00,97959.85
2025-12-27T10:02:45+00:00,97951.44
2025-12-27T10:02:50+00:00,97949.32
2025-12-27T10:02:55+00:00,97948.01
2025-12-27T10:03:00+00:00,97957.06
2025-12-27T10:03:05+00:00,97961.90
2025-12-27T10:03:10+00:00,97975.04
2025-12-27T10:03:15+00:00,97959.35
2025-12-27T10:03:20+00:00,97975.57
2025-12-27T10:03:25+00:00,97968.17
2025-12-27T10:03:30+00:00,97976.26
2025-12-27T10:03:35+00:00,97985.45
2025-12-27T10:03:40+00:00,97979.24
2025-12-27T10:03:45+00:00,97980.72
2025-12-27T10:03:50+00:00,97987.05
2025-12-27T10:03:55+00:00,98003.75
2025-12-27T10:04:00+00:00,97998.91
2025-12-27T10:04:05+00:00,97996.10
2025-12-27T10:04:10+00:00,97998.28
2025-12-27T10:04:15+00:00,97998.04
2025-12-27T10:04:20+00:00,97993.95
2025-12-27T10:04:25+00:00,97976.54
2025-12-27T10:04:30+00:00,97979.43
2025-12-27T10:04:35+00:00,97964.01
2025-12-27T10:04:40+00:00,97968.27
2025-12-27T10:04:45+00:00,97968.36
2025-12-27T10:04:50+00:00,97963.59
2025-12-27T10:04:55+00:00,97962.25
2025-12-27T10:05:00+00:00,97950.41
2025-12-27T10:05:05+00:00,98038.57
2025-12-27T10:05:10+00:00,98126.80
2025-12-27T10:05:15+00:00,98215.12
2025-12-27T10:05:20+00:00,98303.51
2025-12-27T10:05:25+00:00,98391.98
2025-12-27T10:05:30+00:00,98480.54
2025-12-27T10:05:35+00:00,98569.17
2025-12-27T10:05:40+00:00,98657.88
2025-12-27T10:05:45+00:00,98746.67
2025-12-27T10:05:50+00:00,98835.55
2025-12-27T10:05:55+00:00,98924.50
